Community Name,Street Address,City,State,Zip,Phone,Administrator,Owner Company,Owner Street Address,Owner City,Owner State,Owner Zip,Owner Phone,Facility License Number,Status,Number of Beds,Date of Last Survey,Date of Original Licensure,Date of Expiration,Disciplinary Actions
Grace House,2334 Floyd Avenue,Murfreesboro,TN,37127,Shellena Davetta Burton,615-203-3344,,,,,,,00000617,Licensed,0006,04/10/2019,02/21/2017,02/20/2020,No Disciplinary Actions
Grace Place,131 Wessington Place,Hendersonville,TN,37075,Valeria Sandu,615-822-8289,,,,,,,00000615,Licensed,0006,07/17/2019,03/16/2016,03/15/2020,No Disciplinary Actions
Harlan Morris - a retirement community of St. John's Community S,400 HARLAN MORRIS DR.,Trenton,TN,38382-3929,Amanda Holmes Newell,731-855-0702,St. John's Community Services,901 D Street SW Suite 800,Washington,DC,20024,202-237-6500,00000062,Licensed,0039,04/22/2019,07/01/1992,04/01/2020,No Disciplinary Actions
HERITAGE ASSISTED LIVING,1585 COLEMAN ROAD,Knoxville,TN,37909,Belinda Burleson,865-584-7090,"HERITAGE AT PAPERMILL, INC",4310 DALTON PIKE SE,Cleveland,TN,37323,865-888-0307,00000250,Licensed,0024,04/01/2019,06/06/1994,04/06/2020,No Disciplinary Actions
HERITAGE ASSISTED LIVING,144 FELIX ROAD,Knoxville,TN,37918,Mitzi Michelle McMahan,865-688-3800,"HERITAGE AT FOUNTAIN CITY, INC",4310 DALTON PIKE SE,Cleveland,TN,37323,865-888-0307,00000288,Licensed,0028,03/27/2018,05/01/1996,07/01/2020,No Disciplinary Actions
HICKORY VALLEY RETIREMENT CENTER,6705 BALLARD DR.,Chattanooga,TN,37421,Ryan Preston,423-855-0508,HICKORY VALLEY SENIOR LIVING LLC,6705 BALLARD DRIVE,Chattanooga,TN,37421,423-855-0508,00000076,Licensed,0015,05/02/2018,04/22/1988,05/12/2020,No Disciplinary Actions
His House,570 State Street,Cookeville,TN,38501,none,931-854-0322,"His House Senior Services, Inc.",570 STATE STREET,Cookeville,TN,38501,931-854-0322,00000621,Licensed,0012,05/02/2018,04/18/2017,04/17/2020,No Disciplinary Actions
JENN CARE INC,5347 DUNNELLON AVENUE,Memphis,TN,38134,WILLENE D. JENNINGS,901-377-1805,JENN CARE INC,5347 DUNNELLON AVENUE,Memphis,TN,38134,901-377-1805,00000452,Licensed,0007,06/04/2019,05/31/2000,06/24/2020,No Disciplinary Actions
LAKESHORE HEARTLAND,3025 FERNBROOK LANE,Nashville,TN,37214-1601,Yuriy Lutsenko,615-885-2320,"LAKESHORE ESTATES, INC",8044 COLEY DAVIS ROAD,Nashville,TN,37221,615-646-4466,00000396,Licensed,0020,01/22/2019,10/02/1998,05/21/2020,No Disciplinary Actions
"LAUREL OAKS, INC.",4884 OLD TULLAHOMA HWY,Winchester,TN,37398,RUBY WELLER,931-967-9567,"LAUREL OAKS, INC",4884 OLD TULLAHOMA HWY,Winchester,TN,37398,931-967-9567,00000060,Licensed,0012,04/24/2019,11/03/1989,06/10/2020,No Disciplinary Actions
"LIBERTY ASSISTED LIVING, LLC",312 MCMASTER PLACE,Maryville,TN,37801,Reda (Beth) Stinnett,865-984-7047,"LIBERTY ASSISTED LIVING, LLC",609 CATAWBA AVENUE,Clinton,TN,37716,865-256-2797,00000007,Licensed,0028,02/25/2018,10/31/1988,06/29/2020,No Disciplinary Actions
LONG HOLLOW TERRACE,3048 LONG HOLLOW PIKE,Hendersonville,TN,37075,JOSEPH B LAOYAN,615-824-6889,JOSEPH LAOYAN & ZENAIDA LAOYAN,101 TIMBER HILLS DRIVE,Hendersonville,TN,37075,615-497-0041,00000531,Licensed,0011,08/08/2018,07/01/2006,04/17/2020,No Disciplinary Actions
Loving Arms of Memphis Inc.,667 BETHEL AVE,Memphis,TN,38107,Mary Chambers/Timika Chambers,901-336-8631,"LOVING ARMS OF MEMPHIS, INC",667 BETHEL AVENUE,Memphis,TN,38107,901-336-8631,00000158,Licensed,0007,11/07/2018,08/01/1985,04/15/2020,No Disciplinary Actions
MIGHTY HEARTS HOME CARE INC.,1005 HIGHWAY 52 EAST,Portland,TN,37148,Claire Chioma Emesibe,615-323-0716,MIGHTY HEARTS HOME CARE INC,1005 HIGHWAY 52 EAST,Portland,TN,37148,615-323-0716,00000465,Licensed,0012,04/03/2019,02/20/2002,07/11/2020,No Disciplinary Actions
MINTER RESIDENTIAL HOME FOR THE AGED,519 LORAINE DRIVE,Memphis,TN,38109,LINDA BUSH,901-785-3787,"MINTER'S FOSTER GROUP CARE HOME, INC",519 LORAINE DRIVE,Memphis,TN,38109,901-785-3787,00000182,Licensed,0014,05/20/2019,07/01/1980,05/26/2020,No Disciplinary Actions
NHC HEALTHCARE ASSISTED LIVING,3209 BRISTOL HIGHWAY,Johnson,"City,",TN,Tyler R. Williams,423-282-3311,"NHC HEALTHCARE/JOHNSON CITY, L.L.C.",3209 BRISTOL HIGHWAY,Johnson,"City,",TN,423-282-3311,00000413,Licensed,0011,02/25/2019,10/02/1998,05/04/2020,No Disciplinary Actions
NORTHPARK VILLAGE SENIOR LIVING,700 NORTH DUPONT AVENUE,Madison,TN,37115,MITZI G. MOORE,615-865-7575,"MADISON SENIOR LIVING, LLC",700 North Dupont Avenue,Madison,TN,37115,615-865-7575,00000031,Licensed,0024,03/06/2019,10/14/1987,06/12/2020,No Disciplinary Actions
OAK HILL SENIOR LIVING,639 NORTH BROADWAY,Portland,TN,37148,Shanna Wheeler,615-323-1787,SWS SERVICES INC,PO BOX 104,Portland,TN,37148,615-945-8401,00000514,Licensed,0014,08/07/2018,06/03/2005,06/24/2020,No Disciplinary Actions
PARK TERRACE ASSISTED LIVING,712 BROADWAY STREET,South,"Fulton,",TN,WILLIAM SCOTT STUBBLEFIELD,731-479-1321,VENERABLE OPERATIONS LLC,712 BROADWAY STREET,South,"Fulton,",TN,731-479-1321,00000236,Licensed,0036,04/22/2019,03/12/1993,05/12/2020,No Disciplinary Actions
"PATRIOT HILLS ASSISTED LIVING, LLC",209 GUM HOLLOW ROAD,Oak,"Ridge,",TN,Tommy L. Spencer,865-482-9295,"Patriot Hills Assisted Living, LLC",126 Dunbary Drive,Oak,"Ridge,",TN,865-719-1704,00000144,Licensed,0025,10/17/2018,01/30/1989,09/27/2020,No Disciplinary Actions
PINEVIEW BOARDING HOME FOR THE AGED #2,714 GWINN STREET,Hartsville,TN,37074,HATTIE S. MCDONALD,615-374-3615,HATTIE S MCDONALD,PO BOX 152,Hartsville,TN,37074,615-374-3716,00000202,Licensed,0005,07/24/2019,07/19/1983,06/05/2020,No Disciplinary Actions
PINEVIEW BOARDING HOME FOR THE AGED #3,725 GWINN STREET,Hartsville,TN,37074,HATTIE MCDONALD,615-374-9250,HATTIE MCDONALD,P O BOX 152,Hartsville,TN,37074,615-374-3716,00000203,Licensed,0033,07/24/2019,01/17/1989,06/09/2020,No Disciplinary Actions
RIVER OAKS PLACE BUILDING II,100 FIFTH AVENUE,Lenoir,"City,",TN,Angelia Marie Cox,865-988-9321,"RIVER OAKS PLACE, LENOIR CITY, LLC",100 5TH AVENUE,Lenoir,"City,",TN,865-988-9321,00000475,Licensed,0049,04/16/2019,10/24/2002,06/29/2020,No Disciplinary Actions
SHANNONDALE RETIREMENT HOME,801 VANOSDALE ROAD,Knoxville,TN,37909,Todd K. Taylor,265-630-3411,"PRESBYTERIAN HOMES OF TENNESSEE, INC",801 VANOSDALE ROAD,Knoxville,TN,37909,865-690-3411,00000406,Licensed,0113,05/07/2018,07/01/1998,05/13/2020,No Disciplinary Actions
SOUTHERN HERITAGE ASSISTED LIVING I,5310 CLEMONS ROAD,East,"Ridge,",TN,Danielle Lee Daverson,423-490-0119,SOUTHERN ASSISTED LIVING L.P.,5310 CLEMONS ROAD,East,"Ridge,",TN,423-490-0119,00000331,Licensed,0032,06/05/2019,07/23/1997,05/11/2020,No Disciplinary Actions
SOUTHERN HERITAGE ASSISTED LIVING II,5310 CLEMONS ROAD,East,"Ridge,",TN,Danielle Lee Daverson,423-490-0119,"SOUTHERN ASSISTED LIVING, LP",5310 CLEMONS ROAD,East,"Ridge,",TN,423-490-0119,00000497,Licensed,0032,06/04/2019,08/30/2005,05/11/2020,No Disciplinary Actions
SOUTHERN OAKS ASSISTED LIVING,7230 LEE HWY.,Chattanooga,TN,37421,JONNA DAVIS,423-499-8500,SOUTHERN LIVING HOME,7230 LEE HIGHWAY,Chattanooga,TN,37421,423-499-8500,00000086,Licensed,0028,06/12/2019,10/23/1989,06/17/2020,No Disciplinary Actions
"SUNRISE HOME CARE, LLC",8084 SAWYER BROWN ROAD,Nashville,TN,37221,Emnet Abraham,615-646-9567,"Sunrise Home Care, LLC",8084 SAWYER BROWN ROAD,Nashville,TN,37221,615-423-0589,00000587,Licensed,0004,07/10/2019,07/01/2015,06/30/2020,No Disciplinary Actions
TENDER LOVING CARE HOME FOR THE ELDERLY,401 HIGHWAY 61 EAST,Maynardville,TN,37807,ANNA HUBBS-TODD,865-992-2656,ANNA FAYE HUBBS,401 HIGHWAY 61 EAST,Maynardville,TN,37807,865-992-2656,00000447,Licensed,0005,03/15/2019,12/04/2001,04/11/2020,No Disciplinary Actions
THE COURTYARD,195 DEER RIDGE DRIVE,Dayton,TN,37321,DAVID N ZOPFI,423-775-7071,"RHEA-TIREMENT PROPERTIES, INC",195 DEER RIDGE DRIVE,Dayton,TN,37321,423-775-7071,00000419,Licensed,0016,04/02/2019,05/19/1999,05/18/2020,No Disciplinary Actions
THE FANNIE B MANOR,521 PIKE HILL RD.,Mcminnville,TN,37110,Jerry D. Denton,931-668-5320,JERRY DENTON,521 PIKE HILL ROAD,Mc,"Minnville,",TN,931-668-5320,00000272,Licensed,0011,04/29/2019,11/01/1995,06/21/2020,No Disciplinary Actions
THE HERITAGE SENIOR LIVING HOME,141 COUCHWOOD DRIVE,Dayton,TN,37321,NONE,423-775-6451,HERITAGE RESIDENTIAL HOME FOR THE AGED,141 COUCHWOOD DRIVE,Dayton,TN,37321,423-650-1202,00000141,Licensed,0011,04/03/2019,05/25/1988,06/24/2020,No Disciplinary Actions
THE MEADOWS,8044 COLEY DAVIS ROAD,Nashville,TN,37221-2310,Zachary Dean Hilbers,615-646-4466,"LAKESHORE ESTATES, INC",8044 COLEY DAVIS ROAD,Nashville,TN,37221,615-646-4466,00000399,Licensed,0020,06/19/2019,10/02/1998,04/26/2020,No Disciplinary Actions
THE WATERFORD IN SANGO,300 SANGO DRIVE,Clarksville,TN,37043,Lisa Rena Dotson,931-368-9622,"DIMENSIONS, INC.",403 GREENWOOD AVENUE,Clarksville,TN,37040,931-216-9702,00000134,On Probation,0011,12/19/2018,08/12/1987,10/06/2019,1 Disciplinary Action(s)
"Tree of Life Residential Care, LLC",293 KING ROAD,Tracy,"City,",TN,Hollie Nicole Bailey,931-592-9621,"TREE OF LIFE RESIDENTIAL CARE, LLC",293 KING ROAD,Tracy,"City,",TN,931-592-9621,00000065,Licensed,0049,02/14/2018,08/27/1979,10/22/2019,No Disciplinary Actions
WESLEY FOUNTAIN PLACE,12410 TELECOM ROAD,Milan,TN,38358,Janna Johnson,731-686-8600,"WESLEY AT MILAN, INC",1615 APPLING ROAD,Cordova,TN,38016,901-380-4900,00000424,Licensed,0036,05/16/2019,09/13/1999,02/22/2020,No Disciplinary Actions
WILLOW ACRES,255 COUNTY ROAD 730,Riceville,TN,37370,PATTY TILLEY-JOHNSON,423-336-1677,TILLEY INC,255 CR 730,Riceville,TN,37370,423-506-4650,00000257,Licensed,0009,05/21/2018,02/24/1995,04/18/2020,No Disciplinary Actions
WILLOW ACRES BUILDING 2,253 CR 730,Riceville,TN,37370,PATTY TILLEY-JOHNSON,423-336-1677,"TILLEY, INC",255 CR 730,Riceville,TN,37370,423-506-4650,00000562,Licensed,0009,05/21/2018,07/29/2010,10/20/2019,No Disciplinary Actions
